"_id","Date","Description","Deposits","Withdrawls","Balance"
"62695b3bf0cccaf060f178f1","21-Aug-2020","Cash",0,"31,479.91","188,879.43"
"62695b3bf0cccaf060f178f4","21-Aug-2020","Cash",0,"47,219.86","141,659.57"
"62695b3bf0cccaf060f1790c","21-Aug-2020","Cash",0,"789,747.30",0
"62695b3bf0cccaf060f1791e","21-Aug-2020","Cash",263.7,0,"86,830.47"
"62695b3bf0cccaf060f17929","21-Aug-2020","Cash",0,"60,069.74","180,209.21"
"62695b3bf0cccaf060f1793a","21-Aug-2020","Cash","8,487.81",0,"8,487.81"
"62695b3bf0cccaf060f17943","21-Aug-2020","Cash",0,"2,371.04","21,339.38"
"62695b3bf0cccaf060f1797a","23-Aug-2020","Cash",0,"77,653.84","232,961.50"
"62695b3bf0cccaf060f179a3","24-Aug-2020","Cash",0,11.4,45.6
"62695b3bf0cccaf060f179a8","24-Aug-2020","Cash",147.9,0,"182,005.00"
"62695b3bf0cccaf060f179af","24-Aug-2020","Cash",0,"105,711.23","317,133.70"
"62695b3bf0cccaf060f179c8","26-Aug-2020","Cash",0,"31,012.88","62,025.75"
"62695b3bf0cccaf060f179da","26-Aug-2020","Cash","69,776.19",0,"700,809.63"
"62695b3bf0cccaf060f179e7","26-Aug-2020","Cash",2,0,"12,732.67"
"62695b3bf0cccaf060f17a0e","26-Aug-2020","Cash",0,"4,313.45","34,507.62"
"62695b3bf0cccaf060f17a25","27-Aug-2020","Cash",0,"29,300.02","58,600.03"
"62695b3bf0cccaf060f17a2e","27-Aug-2020","Cash",40.87,0,"16,060.07"
"62695b3bf0cccaf060f17a3a","27-Aug-2020","Cash",0,956.62,"2,869.87"
"62695b3bf0cccaf060f17a47","27-Aug-2020","Cash",0,"47,801.54",0
"62695b3bf0cccaf060f17a6a","27-Aug-2020","Cash",0,"23,788.92","95,155.67"
"62695b3bf0cccaf060f17a71","27-Aug-2020","Cash",0,12.03,36.1
"62695b3bf0cccaf060f17a74","27-Aug-2020","Cash",1,0,"14,494.24"
"62695b3bf0cccaf060f17a77","27-Aug-2020","Cash",0,"1,207.85","6,039.27"
"62695b3bf0cccaf060f17a7a","27-Aug-2020","Cash",41.5,0,"18,116.55"
"62695b3bf0cccaf060f17a7b","27-Aug-2020","Cash",888,0,"268,273.96"
"62695b3bf0cccaf060f17a83","27-Aug-2020","Cash","111,626.00",0,"492,230.56"
"62695b3bf0cccaf060f17a8e","27-Aug-2020","Cash",0,"609,409.05","1,828,227.15"
"62695b3bf0cccaf060f17a9a","27-Aug-2020","Cash",0,"506,850.34","2,027,401.37"
"62695b3bf0cccaf060f17aa3","27-Aug-2020","Cash",0,"201,505.80","403,011.60"
"62695b3bf0cccaf060f17aa4","28-Aug-2020","Cash",0,"40,301.16","362,710.44"
"62695b3bf0cccaf060f17aad","28-Aug-2020","Cash",0,"237,366.99","949,467.96"
"62695b3bf0cccaf060f17aba","28-Aug-2020","Cash","130,530.00",0,"130,530.00"
"62695b3bf0cccaf060f17ac0","28-Aug-2020","Cash",0,"186,744.51","933,722.52"
"62695b3bf0cccaf060f17ac6","28-Aug-2020","Cash","977,676.80",0,"977,676.80"
"62695b3bf0cccaf060f17b01","31-Aug-2020","Cash",0,"18,694.79","112,168.74"
"62695b3bf0cccaf060f17b2f","02-Sep-2020","Cash",7.2,0,"16,560.70"
"62695b3bf0cccaf060f17b3d","02-Sep-2020","Cash","3,059.22",0,"207,227.06"
"62695b3bf0cccaf060f17b40","02-Sep-2020","Cash",482.53,0,"123,971.21"
"62695b3bf0cccaf060f17b47","02-Sep-2020","Cash",0,"41,323.74","82,647.47"
"62695b3bf0cccaf060f17b49","02-Sep-2020","Cash",258.52,0,"82,905.99"
"62695b3bf0cccaf060f17b5d","03-Sep-2020","Cash","77,961.00",0,"872,953.37"
"62695b3bf0cccaf060f17b8d","05-Sep-2020","Cash",7.52,0,7.52
"62695b3bf0cccaf060f17bb7","08-Sep-2020","Cash","604,302.00",0,"926,392.45"
"62695b3bf0cccaf060f17bcc","08-Sep-2020","Cash",0.97,0,0.97
"62695b3bf0cccaf060f17bd3","10-Sep-2020","Cash","33,517.40",0,"346,181.95"
"62695b3bf0cccaf060f17bd6","11-Sep-2020","Cash",5,0,5
"62695b3bf0cccaf060f17bdb","12-Sep-2020","Cash",0,"1,376,590.03","1,376,590.03"
"62695b3bf0cccaf060f17bf3","14-Sep-2020","Cash",0,"242,604.29","970,417.17"
"62695b3bf0cccaf060f17c0e","16-Sep-2020","Cash",0,178.2,178.2
"62695b3bf0cccaf060f17c2e","17-Sep-2020","Cash",0,"44,615.48","401,539.30"
"62695b3bf0cccaf060f17c2f","17-Sep-2020","Cash","3,084.30",0,"404,623.60"
"62695b3bf0cccaf060f17c56","20-Sep-2020","Cash",494.5,0,"34,384.90"
"62695b3bf0cccaf060f17c58","20-Sep-2020","Cash",5,0,"34,389.90"
"62695b3bf0cccaf060f17c59","20-Sep-2020","Cash",8.64,0,"34,398.54"
"62695b3bf0cccaf060f17c61","20-Sep-2020","Cash",112.86,0,"295,455.67"
"62695b3bf0cccaf060f17c63","20-Sep-2020","Cash","3,920.23",0,"257,233.95"
"62695b3bf0cccaf060f17c6c","20-Sep-2020","Cash",0,"7,728.27","46,369.60"
"62695b3bf0cccaf060f17c89","22-Sep-2020","Cash",7.2,0,615.02
"62695b3bf0cccaf060f17ca1","22-Sep-2020","Cash","35,064.80",0,"815,082.72"
"62695b3bf0cccaf060f17ca8","22-Sep-2020","Cash",0,"372,677.78","372,677.78"
"62695b3cf0cccaf060f17cca","24-Sep-2020","Cash",57.86,0,"3,027,302.59"
"62695b3cf0cccaf060f17ce3","25-Sep-2020","Cash",0,"258,355.78","1,291,778.91"
"62695b3cf0cccaf060f17ce4","25-Sep-2020","Cash",81.08,0,"1,291,859.99"
"62695b3cf0cccaf060f17d0b","27-Sep-2020","Cash",0,4.85,14.54
"62695b3cf0cccaf060f17d13","27-Sep-2020","Cash",0,"2,390.32","21,512.87"
"62695b3cf0cccaf060f17d18","27-Sep-2020","Cash","1,079.00",0,"16,410.69"
"62695b3cf0cccaf060f17d19","27-Sep-2020","Cash",8,0,"16,418.69"
"62695b3cf0cccaf060f17d33","28-Sep-2020","Cash",54,0,"1,580,026.69"
"62695b3cf0cccaf060f17d47","29-Sep-2020","Cash",0,"372,988.83",0
"62695b3cf0cccaf060f17d4a","29-Sep-2020","Cash",0,"4,403.97","26,423.84"
"62695b3cf0cccaf060f17d8a","29-Sep-2020","Cash","3,732.80",0,"4,045.71"
"62695b3cf0cccaf060f17da3","29-Sep-2020","Cash",0,"28,198.24","84,594.71"
"62695b3cf0cccaf060f17dc0","29-Sep-2020","Cash",4.85,0,212.85
"62695b3cf0cccaf060f17dc5","29-Sep-2020","Cash","2,085.00",0,"2,029,220.00"
"62695b3cf0cccaf060f17dce","29-Sep-2020","Cash",0,"142,077.86","710,389.28"
"62695b3cf0cccaf060f17ddf","29-Sep-2020","Cash",318,0,"3,025,278.78"
"62695b3cf0cccaf060f17de0","29-Sep-2020","Cash",0,"302,527.88","2,722,750.90"
"62695b3cf0cccaf060f17de3","29-Sep-2020","Cash","126,482.90",0,"2,304,683.62"
"62695b3cf0cccaf060f17e03","01-Oct-2020","Cash",0,"7,271.15","21,813.45"
"62695b3cf0cccaf060f17e15","02-Oct-2020","Cash",6,0,"1,292,340.60"
"62695b3cf0cccaf060f17e1a","02-Oct-2020","Cash","216,275.50",0,"1,101,087.09"
"62695b3cf0cccaf060f17e1d","02-Oct-2020","Cash",6.23,0,"963,457.43"
"62695b3cf0cccaf060f17e25","03-Oct-2020","Cash",0,"81,031.55","486,189.31"
"62695b3cf0cccaf060f17e3a","05-Oct-2020","Cash",51,0,"248,689.04"
"62695b3cf0cccaf060f17e3f","06-Oct-2020","Cash","2,446.00",0,"204,570.64"
"62695b3cf0cccaf060f17e48","06-Oct-2020","Cash","11,790.50",0,"4,133,735.28"
"62695b3cf0cccaf060f17e4f","07-Oct-2020","Cash",0,"491,423.76","2,948,542.53"
"62695b3cf0cccaf060f17e52","07-Oct-2020","Cash",0,"737,141.54","737,141.54"
